ticker,name,sector,marketCap,dividendYield_%,profitMargins_%
XOM,Exxon Mobil Corporation,Energy,400802152448.0,3.63,10.8710006
WMT,Walmart Inc.,Consumer Defensive,368038379520.0,1.7000000000000002,2.2560000000000002
PG,The Procter & Gamble Company,Consumer Defensive,343511891968.0,2.6300002,18.384
MA,Mastercard Incorporated,Financial Services,342922231808.0,0.5499999999999999,46.484002000000004
PFE,Pfizer Inc.,Healthcare,278903521280.0,3.17,28.938999999999997
JPM,JPMorgan Chase & Co.,Financial Services,340476264448.0,3.47,32.358003000000004
KO,The Coca-Cola Company,Consumer Defensive,274887868416.0,2.74,23.162001
LLY,Eli Lilly and Company,Healthcare,306300780544.0,1.1900000000000002,20.903
HD,"The Home Depot, Inc.",Consumer Cyclical,314013417472.0,2.53,10.828
CVX,Chevron Corporation,Energy,306772574208.0,3.47,14.094000000000001
AMZN,"Amazon.com, Inc.",Consumer Cyclical,68038979584.0,0.0,2.3890000000000002
AAPL,Apple Inc.,Technology,2625187872768.0,0.5700000000000001,25.709
UNH,UnitedHealth Group Incorporated,Healthcare,504323571712.0,1.2200001,5.954000000000001
NVDA,NVIDIA Corporation,Technology,461667893248.0,0.09000000400000001,32.017
META,"Meta Platforms, Inc.",Communication Services,0.0,0.0,28.163
JNJ,Johnson & Johnson,Healthcare,455229210624.0,2.5899999,19.214001
V,Visa Inc.,Financial Services,0.0,0.70999996,51.99399999999999
TSLA,"Tesla, Inc.",Consumer Cyclical,905601482752.0,0.0,14.168
MSFT,Microsoft Corporation,Technology,2063343026176.0,0.88,36.686
BAC,Bank of America Corporation,Financial Services,270402011136.0,2.5999999,30.686999999999998
ABBV,AbbVie Inc.,Healthcare,248192663552.0,3.9300002000000003,22.035
PEP,"PepsiCo, Inc.",Consumer Defensive,242641256448.0,2.6300002,11.282
MRK,"Merck & Co., Inc.",Healthcare,221297606656.0,3.09,28.999999999999996
COST,Costco Wholesale Corporation,Consumer Defensive,240987570176.0,0.67000003,2.595
ORCL,Oracle Corporation,Technology,203888852992.0,1.6400000000000001,15.827
TMO,Thermo Fisher Scientific Inc.,Healthcare,230927876096.0,0.2,17.372999
DHR,Danaher Corporation,Healthcare,204033179648.0,0.33999999999999997,20.608999
AVGO,Broadcom Inc.,Technology,219322793984.0,3.06,29.763
ACN,Accenture plc,Technology,191321325568.0,1.27,11.123
MCD,McDonald's Corporation,Consumer Cyclical,195068297216.0,2.1,25.773000000000003
VZ,Verizon Communications Inc.,Communication Services,190326439936.0,5.54,15.484
ABT,Abbott Laboratories,Healthcare,192107036672.0,1.73,18.78
DIS,The Walt Disney Company,Communication Services,190327177216.0,0.0,3.46
CRM,"Salesforce, Inc.",Technology,181033140224.0,0.0,3.5900000000000003
CSCO,"Cisco Systems, Inc.",Technology,189455040512.0,3.35,23.276
ADBE,Adobe Inc.,Technology,195058958336.0,0.0,29.287999999999997
TMUS,"T-Mobile US, Inc.",Communication Services,177802280960.0,0.0,2.141
CMCSA,Comcast Corporation,Communication Services,172156911616.0,2.8800000999999997,11.5380004
NKE,"NIKE, Inc.",Consumer Cyclical,176911777792.0,1.06,12.944001
NEE,"NextEra Energy, Inc.",Utilities,168096530432.0,1.9199998999999999,14.752
WFC,Wells Fargo & Company,Financial Services,170972430336.0,2.74,23.038
QCOM,QUALCOMM Incorporated,Technology,164673601536.0,2.07,30.519000000000002
INTC,Intel Corporation,Technology,146452660224.0,4.02,26.031
UPS,"United Parcel Service, Inc.",Industrials,168205058048.0,3.1199999999999997,10.922
BMY,Bristol-Myers Squibb Company,Healthcare,162655223808.0,2.93,14.036000000000001
PM,Philip Morris International Inc.,Consumer Defensive,153581273088.0,5.1499999999999995,28.559
TXN,Texas Instruments Incorporated,Technology,163667279872.0,2.5700000000000003,43.778
LIN,Linde plc,Basic Materials,152556879872.0,1.55,10.880999
AMD,"Advanced Micro Devices, Inc.",Technology,119903592448.0,0.0,17.975001
MS,Morgan Stanley,Financial Services,149887057920.0,3.6799999999999997,23.785
UNP,Union Pacific Corporation,Industrials,143039922176.0,2.29,29.233998
HON,Honeywell International Inc.,Industrials,130194546688.0,2.0399998999999998,14.741999
RTX,Raytheon Technologies Corporation,Industrials,140323127296.0,2.3599999,6.842
AMGN,Amgen Inc.,Healthcare,137386205184.0,3.1400003,21.746999
T,AT&T Inc.,Communication Services,131108765696.0,5.91,12.725
SCHW,The Charles Schwab Corporation,Financial Services,127710027776.0,1.27,33.088002
SPGI,S&P Global Inc.,Financial Services,89116983296.0,0.8999999999999999,40.415
MDT,Medtronic plc,Healthcare,125326434304.0,2.94,15.903
CVS,CVS Health Corporation,Healthcare,125894131712.0,2.3,2.6770001000000003
INTU,Intuit Inc.,Technology,126567161856.0,0.6,19.436
AMT,American Tower Corporation,Real Estate,121427042304.0,2.11,27.226
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,126630748160.0,2.19,8.854
COP,ConocoPhillips,Energy,124917751808.0,1.97,23.416999999999998
IBM,International Business Machines Corporation,Technology,118143934464.0,5.050000000000001,9.363000000000001
ELV,Elevance Health Inc.,Healthcare,0.0,1.0699999999999998,4.093
GS,"The Goldman Sachs Group, Inc.",Financial Services,109373554688.0,2.4,32.818999999999996
AXP,American Express Company,Financial Services,117422702592.0,1.35,15.862000000000002
LMT,Lockheed Martin Corporation,Industrials,118251511808.0,2.71,7.332
C,Citigroup Inc.,Financial Services,100701700096.0,3.9300002000000003,23.114
DE,Deere & Company,Industrials,102431088640.0,1.3200001,13.014999999999999
CAT,Caterpillar Inc.,Industrials,99268263936.0,2.42,12.3330005
BLK,"BlackRock, Inc.",Financial Services,101201018880.0,2.92,30.117
NFLX,"Netflix, Inc.",Communication Services,98078433280.0,0.0,16.419001
ADP,"Automatic Data Processing, Inc.",Industrials,101393416192.0,1.73,17.874001
PYPL,"PayPal Holdings, Inc.",Financial Services,105308979200.0,0.0,13.869001
SBUX,Starbucks Corporation,Consumer Cyclical,0.0,2.31,14.069999999999999
PLD,"Prologis, Inc.",Real Estate,95646728192.0,2.3800000000000003,69.76400000000001
EL,The Estée Lauder Companies Inc.,Consumer Defensive,96606183424.0,0.88,18.529
BA,The Boeing Company,Industrials,95959490560.0,0.0,-8.6890005
AMAT,"Applied Materials, Inc.",Technology,93284982784.0,0.98,27.203
ADI,"Analog Devices, Inc.",Technology,89710780416.0,1.77,16.836001
MDLZ,"Mondelez International, Inc.",Consumer Defensive,90338263040.0,2.4,12.928999999999998
CI,Cigna Corporation,Healthcare,89962815488.0,1.63,3.0439998999999998
NOW,"ServiceNow, Inc.",Technology,90433560576.0,0.0,2.787
ZTS,Zoetis Inc.,Healthcare,84609122304.0,0.70999996,26.27
SYK,Stryker Corporation,Healthcare,80446431232.0,1.2899999500000001,11.793
DUK,Duke Energy Corporation,Utilities,84335378432.0,3.66,14.704001
ISRG,"Intuitive Surgical, Inc.",Healthcare,85193875456.0,0.0,24.053
MMC,"Marsh & McLennan Companies, Inc.",Financial Services,81717256192.0,1.4400001,16.360001
SO,The Southern Company,Utilities,80470614016.0,3.54,11.694
MMM,3M Company,Industrials,81683865600.0,4.16,11.828
GE,General Electric Company,Industrials,81657692160.0,0.44,-5.9270002
MO,"Altria Group, Inc.",Consumer Defensive,80515276800.0,8.2100004,8.453
GOOGL,Alphabet Inc.,Communication Services,76423413760.0,0.0,25.892
GOOG,Alphabet Inc.,Communication Services,76925501440.0,0.0,25.892
CCI,Crown Castle International Corp.,Real Estate,76867305472.0,3.25,22.895999
BKNG,Booking Holdings Inc.,Consumer Cyclical,80325287936.0,0.0,4.156
CB,Chubb Limited,Financial Services,79402795008.0,1.76,17.53
GILD,"Gilead Sciences, Inc.",Healthcare,74685792256.0,4.8899997,16.434999
TGT,Target Corporation,Consumer Defensive,78327185408.0,2.6400002,5.475999799999999
CHTR,"Charter Communications, Inc.",Communication Services,78466711552.0,0.0,10.349
VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,69629452288.0,0.0,30.841
BDX,"Becton, Dickinson and Company",Healthcare,69271150592.0,1.4199998999999999,9.59
CME,CME Group Inc.,Financial Services,70988496896.0,2.01,60.556
USB,U.S. Bancorp,Financial Services,69587804160.0,3.9,30.177
NOC,Northrop Grumman Corporation,Industrials,75687444480.0,1.4400001,16.231
TJX,"The TJX Companies, Inc.",Consumer Cyclical,73529122816.0,1.9299999,6.69
WM,"Waste Management, Inc.",Industrials,68323553280.0,1.5800001000000001,11.266
MU,"Micron Technology, Inc.",Technology,69977022464.0,0.74,30.612000000000002
